ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 09:32:26 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,45 min 5 sec,0.5,41742,125748,Tue Nov 28 10:17:32 BRST 2017,2706.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 09:22:25 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,10.0,105405,648822,Tue Nov 28 09:32:26 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 09:17:24 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Tue Nov 28 09:22:25 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 08:07:15 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,1 hrs 10 min 9 sec,0,0,0,Tue Nov 28 09:17:24 BRST 2017,4209.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 07:52:13 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 1 sec,0.5,14624,37039,Tue Nov 28 08:07:15 BRST 2017,902.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 07:42:12 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,0,746,301,Tue Nov 28 07:52:13 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 07:32:11 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Tue Nov 28 07:37:11 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 07:27:10 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0.4,4345,12548,Tue Nov 28 07:32:11 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 07:12:09 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Tue Nov 28 07:22:09 BRST 2017,600.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 06:57:07 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Tue Nov 28 07:07:08 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 06:52:07 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,8.1,136666,167231,Tue Nov 28 06:57:07 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 06:47:07 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Tue Nov 28 06:52:07 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 06:12:05 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,35 min 1 sec,0.5,64279,78458,Tue Nov 28 06:47:07 BRST 2017,2102.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 06:07:05 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Tue Nov 28 06:12:05 BRST 2017,300.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 18:14:50 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 0 sec,0,0,0,Fri Nov 24 18:24:50 BRST 2017,600.0,0
3981,172.24.1.102,f4:f5:24:eb:af:ec,Fri Nov 24 17:44:49 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,30 min 0 sec,31.6,4015663,3092300,Fri Nov 24 18:14:50 BRST 2017,1801.0,0
